MainDTN,ChE30M,ChERM,ChE30,MDTN_R,ChEBM,MDTN_B,NSCh2pD,NFCh30m,TotCha,geometry,corridor_name
245.81,0.0,28.53,109.65,59.17,81.12,186.64,30.0,8.0,38.0,"POLYGON ((20.425866191071687 52.01893133876714, 20.382485642133826 52.23655004251005, 20.75546213087851 52.26145342826551, 20.797004020381422 52.04371453588214, 20.425866191071687 52.01893133876714))",Trasa Bohaterów Bitwy Warszawskiej 1920 r. Highway Corridor (Chlebnia)
6.7,0.0,2.42,3.35,4.58,0.93,2.12,3.0,1.0,4.0,"POLYGON ((23.66629827020973 56.148681467905, 23.636357557290417 56.3670382509411, 24.050262083361954 56.38232030743522, 24.077921097336535 56.163877260742396, 23.66629827020973 56.148681467905))",A12 Route (Karklynė)
25.34,0.0,3.62,16.22,5.72,12.6,19.62,3.0,2.0,5.0,"POLYGON ((-8.311591596687794 51.9506066147179, -8.49198393521232 52.14249122329101, -8.163445264865198 52.248065767197524, -7.984065578910854 52.05573202840603, -8.311591596687794 51.9506066147179))",Watergrasshill Bypass Highway Corridor (County Cork)
9.42,0.0,2.81,6.09,4.51,3.28,4.91,3.0,1.0,4.0,"POLYGON ((17.540852230743774 48.67720403510863, 17.487163639924763 48.89453506569582, 17.831708340974593 48.92806965111947, 17.883844204203076 48.710595260221666, 17.540852230743774 48.67720403510863))",D1 Highway Corridor (Stará Turá)
233.73,0.0,53.55,125.27,102.12,71.72,131.62,52.0,6.0,58.0,"POLYGON ((10.457560030842654 49.56172186619154, 10.369690407019768 49.77454244756523, 10.714117523737622 49.828641392072825, 10.80049968588992 49.61558694627412, 10.457560030842654 49.56172186619154))",Motorway A 3 Corridor (Hombeer)
7.27,0.0,2.94,4.98,4.17,2.04,3.1,3.0,1.0,4.0,"POLYGON ((3.4825707632612426 47.511599916784256, 3.367951624488174 47.71904728374386, 3.68834740186336 47.79320798161181, 3.801765174221129 47.585469978818615, 3.4825707632612426 47.511599916784256))",Motorway Autoroute du Soleil Corridor (Val-de-Mercy)
0.64,0.0,0.08,0.29,0.19,0.21,0.45,1.0,1.0,2.0,"POLYGON ((20.61722079801236 64.65061016112055, 20.557469433604936 64.8727618930621, 21.083082728922694 64.89744355337999, 21.139187045311658 64.6750904196299, 20.61722079801236 64.65061016112055))",E 4 Route (Västerbotten County)
0.46,0.0,0.0,0.18,0.0,0.18,0.46,0.0,1.0,1.0,"POLYGON ((30.167451551297994 52.525172799325716, 30.173244171176222 52.74416265079924, 30.55291319662378 52.740245532730114, 30.545191108107844 52.52127504347279, 30.167451551297994 52.525172799325716))",М5 Route (Gubithsky Selsovet)
9.49,0.0,1.42,4.26,3.37,2.84,6.13,2.0,1.0,3.0,"POLYGON ((9.433625638022498 49.394226435621555, 9.341360150867407 49.60632432806378, 9.683300083003331 49.663380622802855, 9.774111489263205 49.45103836881814, 9.433625638022498 49.394226435621555))",Motorway A 81 Corridor (Buch)
93.67,0.0,11.24,48.58,20.29,37.33,73.38,11.0,4.0,15.0,"POLYGON ((4.178640038395416 50.23237435536205, 4.060326351144741 50.439642194566574, 4.401089575348735 50.51154344177688, 4.518033028764291 50.30396537862999, 4.178640038395416 50.23237435536205))",Motorway Autoroute de Wallonie Corridor (Thuin)
6.09,0.0,0.81,2.36,2.1,1.55,3.99,2.0,1.0,3.0,"POLYGON ((28.33512158720907 49.017642696741255, 28.331819897479736 49.23748647221475, 28.68288180730209 49.23904432496789, 28.684532762205404 49.0191937363264, 28.33512158720907 49.017642696741255))",М-30 Route (Vinnytsia Oblast)
135.25,0.0,13.02,88.12,19.64,75.1,115.6,10.0,5.0,15.0,"POLYGON ((12.363848713155813 42.36119893784844, 12.295471426178686 42.57863122478132, 12.595338466421063 42.62799488309434, 12.662572101607672 42.410393701743466, 12.363848713155813 42.36119893784844))",Motorway Autostrada del Sole Corridor (Narni)
4.79,0.0,0.56,2.9,1.0,2.34,3.79,1.0,1.0,2.0,"POLYGON ((24.412873688650606 56.83349622589679, 24.38663327581764 57.05209227575502, 24.80816176043138 57.06516284986446, 24.832032774747997 56.84649098045296, 24.412873688650606 56.83349622589679))",Rīga — Sigulda — Igaunijas robeža (Veclaicene) Route (Ropažu pagasts)
208.23,0.0,82.98,143.17,120.52,60.19,87.71,61.0,4.0,65.0,"POLYGON ((-0.5441347503183852 45.27980983030857, -0.6700898325198617 45.483842110505, -0.3702654625159635 45.56957664942791, -0.2453043407929582 45.36523892338672, -0.5441347503183852 45.27980983030857))",L'Aquitaine Highway Corridor (Saint-Simon-de-Bordes)
0.74,0.0,0.19,0.38,0.36,0.19,0.39,1.0,1.0,2.0,"POLYGON ((9.485365730057099 53.490296345668135, 9.384351200095576 53.70163347672653, 9.759786261482342 53.75831342407256, 9.859047686136938 53.54669566634866, 9.485365730057099 53.490296345668135))",Motorway A 23 Corridor (Haseldorf)
264.06,0.0,61.37,139.3,116.82,77.94,147.24,59.0,6.0,65.0,"POLYGON ((8.616689857696727 50.39432823108009, 8.518546966727012 50.60550389907791, 8.867017821514489 50.66482098768419, 8.963661177041207 50.453383128768024, 8.616689857696727 50.39432823108009))",Motorway A 45 Corridor (Watzenborn-Steinberg)
0.3,0.0,0.1,0.2,0.14,0.11,0.16,1.0,1.0,2.0,"POLYGON ((26.323812698173626 41.44944104342158, 26.312789900395142 41.67291265892932, 26.614915146224106 41.68064322602238, 26.62471593494969 41.457145318692454, 26.323812698173626 41.44944104342158))",Motorway Avrupa Otoyolu Corridor (Sterna)
22.56,0.0,1.08,14.2,1.68,13.12,20.88,1.0,2.0,3.0,"POLYGON ((-3.0994861788959605 55.880659516058735, -3.2720761804703367 56.07930550059315, -2.8977048310019784 56.171014450078154, -2.726596101404794 55.97190122392843, -3.0994861788959605 55.880659516058735))",City of Edinburgh Bypass Route (Prestonpans)
1.42,0.0,0.42,0.92,0.64,0.51,0.78,1.0,1.0,2.0,"POLYGON ((26.88209982514435 42.580117569767715, 26.873162919789443 42.80293263457261, 27.18170962528635 42.80894941068782, 27.18937154127683 42.586113108347455, 26.88209982514435 42.580117569767715))",Автомагистрала Тракия Highway Corridor (Sokolovo)
