corridor_name,MainDTN,NFCh30m,NSCh2pD,TotCha,ChEBM,ChERM,ChE30,MDTN_B,MDTN_R,trucks_per_fast_charger,trucks_per_slow_charger,total_trucks_per_charger,fast_slow_ratio,fast_charger_percent,energy_per_fast_charger,energy_per_slow_charger,energy_per_truck,recommended_fast_chargers,fast_charger_deficit,charger_need_score
L'Européenne Highway Corridor (Unknown Area),1071.82,25.0,158.0,183.0,503.15,207.66,710.81,756.72,315.1,30.268800000000002,1.9943037974683546,5.8569398907103825,0.15822784810126583,13.66120218579235,20.125999999999998,1.3143037974683545,0.6631803847660988,16.0,0,0.9398705805756029
Motorway M56 Corridor (Liverpool),1104.66,29.0,108.0,137.0,400.71,22.08,422.79,889.94,214.71,30.687586206896555,1.9880555555555557,8.063211678832117,0.26851851851851855,21.16788321167883,13.817586206896552,0.20444444444444443,0.3827331486611265,18.0,0,0.9079405224043651
Motorway A 2 Corridor (Helmstedt),774.95,13.0,211.0,224.0,185.78,221.72,407.5,354.69,420.26,27.283846153846152,1.9917535545023697,3.4595982142857147,0.061611374407582936,5.803571428571429,14.29076923076923,1.0508056872037914,0.5258403767985032,8.0,0,0.7478818282128801
Motorway A 10 Corridor (Berlin),600.04,13.0,117.0,130.0,174.84,113.1,287.94,366.24,233.79,28.172307692307694,1.998205128205128,4.615692307692307,0.1111111111111111,10.0,13.44923076923077,0.9666666666666666,0.4798680087994134,8.0,0,0.6895532836060609
Motorway A4 Corridor (Wądroże Wielkie),520.11,13.0,72.0,85.0,197.2,74.21,271.4,376.36,143.75,28.950769230769232,1.9965277777777777,6.118941176470589,0.18055555555555555,15.294117647058824,15.169230769230769,1.0306944444444444,0.5218126934686893,8.0,0,0.6841936994550728
Motorway A 115 Corridor (Ludwigsfelde),488.59,14.0,43.0,57.0,182.55,44.4,226.94,403.12,85.47,28.794285714285714,1.987674418604651,8.571754385964912,0.32558139534883723,24.56140350877193,13.039285714285715,1.0325581395348837,0.46447942037290985,9.0,0,0.6541017835150826
Motorway A12 dir. Livorno - Genova Est/Genova Nervi Corridor (Unknown Area),254.73,9.0,5.0,14.0,230.42,5.44,235.86,246.57,8.16,27.396666666666665,1.6320000000000001,18.195,1.8,64.28571428571429,25.60222222222222,1.088,0.9259215640089508,5.0,0,0.649342560032343
L'Aquitaine Highway Corridor (Saint-Claude-de-Diray),436.16,10.0,81.0,91.0,169.07,98.63,267.71,274.5,161.66,27.45,1.9958024691358025,4.7929670329670335,0.12345679012345678,10.989010989010989,16.907,1.2176543209876542,0.613788517975055,6.0,0,0.6478084430113153
Pražský okruh Highway Corridor (Capital City of Prague),442.24,11.0,68.0,79.0,174.37,80.38,254.75,306.39,135.85,27.85363636363636,1.9977941176470588,5.597974683544304,0.16176470588235295,13.924050632911392,15.851818181818182,1.1820588235294116,0.5760446816208393,7.0,0,0.6470283661102368
Motorway A 24 Corridor (Märkisch Linden),441.9,12.0,53.0,65.0,182.26,55.24,237.5,336.91,104.99,28.075833333333335,1.980943396226415,6.798461538461538,0.22641509433962265,18.46153846153846,15.188333333333333,1.0422641509433963,0.5374519121973298,7.0,0,0.6446184714863699
La Méridienne Highway Corridor (Bessan),423.67,13.0,35.0,48.0,224.57,48.68,273.25,353.98,69.69,27.22923076923077,1.991142857142857,8.826458333333333,0.37142857142857144,27.083333333333332,17.274615384615384,1.3908571428571428,0.6449595203814289,8.0,0,0.6432798947071767
Motorway A 12 Corridor (Steinhöfel),526.08,13.0,88.0,101.0,163.69,85.23,248.92,350.48,175.59,26.96,1.995340909090909,5.208712871287129,0.14772727272727273,12.871287128712872,12.59153846153846,0.9685227272727274,0.4731599756690997,8.0,0,0.6402701234442606
Motorway A 2 Corridor (Vlotho),501.16,12.0,89.0,101.0,163.49,89.45,252.94,323.43,177.72,26.9525,1.9968539325842696,4.961980198019802,0.1348314606741573,11.881188118811881,13.624166666666667,1.0050561797752808,0.5047090749461249,7.0,0,0.6392154806931113
